,Low,Medium,High
Age_mean,21.52,21.51,21.51
Age_std,1.68,1.71,1.77
Gender_mean,0.53,0.5,0.51
Gender_std,0.5,0.5,0.5
Study_Hours_mean,4.51,4.52,4.29
Study_Hours_std,2.86,2.87,2.81
Class_Attendance_mean,68.29,69.08,70.19
Class_Attendance_std,17.32,17.62,17.09
Tuition_mean,0.49,0.48,0.51
Tuition_std,0.5,0.5,0.5
Exam_Frequency_mean,4.12,5.45,6.64
Exam_Frequency_std,2.44,2.51,2.22
Assignment_Load_mean,4.02,5.49,6.55
Assignment_Load_std,2.42,2.49,2.32
Sleep_Hours_mean,6.9,6.34,5.88
Sleep_Hours_std,1.63,1.69,1.6
Physical_Exercise_mean,0.56,0.44,0.37
Physical_Exercise_std,0.5,0.5,0.48
Social_Media_Use_mean,2.79,3.75,5.01
Social_Media_Use_std,2.18,2.24,1.91
Screen_Time_mean,4.37,6.64,8.65
Screen_Time_std,2.78,3.01,2.29
Family_Income_Level_mean,0.87,0.83,0.85
Family_Income_Level_std,0.74,0.72,0.75
Peer_Pressure_mean,5.0,5.01,4.83
Peer_Pressure_std,2.62,2.54,2.5
Family_Support_mean,5.99,4.58,3.31
Family_Support_std,2.38,2.49,2.15
Anxiety_Level_mean,4.17,5.39,6.45
Anxiety_Level_std,2.44,2.51,2.23
University_Type_mean,0.99,1.02,0.92
University_Type_std,0.82,0.82,0.81
Stress_Score_mean,5.46,14.92,23.36
Stress_Score_std,3.8,2.75,2.41
